datetime,SP15
2024-01-10 00:00:00,67.43231
2024-01-10 01:00:00,66.82332
2024-01-10 02:00:00,67.0096
2024-01-10 03:00:00,66.3579
2024-01-10 04:00:00,66.7571
2024-01-10 05:00:00,76.33491
2024-01-10 06:00:00,90.52976
2024-01-10 07:00:00,79.11182
2024-01-10 08:00:00,61.24718
2024-01-10 09:00:00,47.0632
2024-01-10 10:00:00,38.25508
2024-01-10 11:00:00,33.05799
2024-01-10 12:00:00,26.5113
2024-01-10 13:00:00,22.77562
2024-01-10 14:00:00,28.56948
2024-01-10 15:00:00,59.53154
2024-01-10 16:00:00,86.15364
2024-01-10 17:00:00,90.86239
2024-01-10 18:00:00,90.37961
2024-01-10 19:00:00,89.3844
2024-01-10 20:00:00,89.50873
2024-01-10 21:00:00,89.66716
2024-01-10 22:00:00,77.15219
2024-01-10 23:00:00,72.89675
2024-01-11 00:00:00,69.24503
2024-01-11 01:00:00,68.72232
2024-01-11 02:00:00,68.64947
2024-01-11 03:00:00,68.62096
2024-01-11 04:00:00,69.96124
2024-01-11 05:00:00,81.66398
2024-01-11 06:00:00,98.15078
2024-01-11 07:00:00,90.5556
2024-01-11 08:00:00,71.60847
2024-01-11 09:00:00,50.13369
2024-01-11 10:00:00,40.62151
2024-01-11 11:00:00,36.85883
2024-01-11 12:00:00,34.78317
2024-01-11 13:00:00,33.04436
2024-01-11 14:00:00,36.7799
2024-01-11 15:00:00,67.43221
2024-01-11 16:00:00,98.66202
2024-01-11 17:00:00,105.35327
2024-01-11 18:00:00,105.67868
2024-01-11 19:00:00,103.70572
2024-01-11 20:00:00,102.96281
2024-01-11 21:00:00,102.1292
2024-01-11 22:00:00,98.91505
2024-01-11 23:00:00,94.01375
2024-01-12 00:00:00,76.20444
2024-01-12 01:00:00,75.74276
2024-01-12 02:00:00,74.64742
2024-01-12 03:00:00,74.85993
2024-01-12 04:00:00,81.78889
2024-01-12 05:00:00,86.58127
2024-01-12 06:00:00,98.46312
2024-01-12 07:00:00,85.82731
2024-01-12 08:00:00,54.25979
2024-01-12 09:00:00,43.17188
2024-01-12 10:00:00,34.83446
2024-01-12 11:00:00,29.06584
2024-01-12 12:00:00,25.70464
2024-01-12 13:00:00,22.1
2024-01-12 14:00:00,24.0884
2024-01-12 15:00:00,51.73321
2024-01-12 16:00:00,83.70785
2024-01-12 17:00:00,90.4076
2024-01-12 18:00:00,90.81066
2024-01-12 19:00:00,90.33781
2024-01-12 20:00:00,89.2373
2024-01-12 21:00:00,88.95801
2024-01-12 22:00:00,83.99929
2024-01-12 23:00:00,74.79169
2024-01-13 00:00:00,181.66895
2024-01-13 01:00:00,165.46184
2024-01-13 02:00:00,163.76387
2024-01-13 03:00:00,164.06252
2024-01-13 04:00:00,164.67511
2024-01-13 05:00:00,181.04623
2024-01-13 06:00:00,184.45782
2024-01-13 07:00:00,172.46582
2024-01-13 08:00:00,99.3
2024-01-13 09:00:00,67.22808
2024-01-13 10:00:00,59.4518
2024-01-13 11:00:00,49.8752
2024-01-13 12:00:00,43.59566
2024-01-13 13:00:00,42.9571
2024-01-13 14:00:00,48.92338
2024-01-13 15:00:00,106.76001
2024-01-13 16:00:00,185.44583
2024-01-13 17:00:00,190.71477
2024-01-13 18:00:00,189.01453
2024-01-13 19:00:00,187.54288
2024-01-13 20:00:00,187.5393
2024-01-13 21:00:00,186.85162
2024-01-13 22:00:00,178.5513
2024-01-13 23:00:00,174.78609
2024-01-14 00:00:00,167.26154
2024-01-14 01:00:00,165.93297
2024-01-14 02:00:00,159.75133
2024-01-14 03:00:00,159.58514
2024-01-14 04:00:00,158.44664
2024-01-14 05:00:00,163.991
2024-01-14 06:00:00,172.87727
2024-01-14 07:00:00,157.57207
2024-01-14 08:00:00,102.21423
2024-01-14 09:00:00,67.93
2024-01-14 10:00:00,46.92743
2024-01-14 11:00:00,44.19904
2024-01-14 12:00:00,33.20434
2024-01-14 13:00:00,30.95774
2024-01-14 14:00:00,40.92
2024-01-14 15:00:00,94.27529
2024-01-14 16:00:00,165.17146
2024-01-14 17:00:00,189.00948
2024-01-14 18:00:00,188.13913
2024-01-14 19:00:00,191.72821
2024-01-14 20:00:00,191.67172
2024-01-14 21:00:00,189.07352
2024-01-14 22:00:00,188.01872
2024-01-14 23:00:00,180.53383
2024-01-15 00:00:00,197.66272
2024-01-15 01:00:00,184.56883
2024-01-15 02:00:00,183.83116
2024-01-15 03:00:00,182.72533
2024-01-15 04:00:00,184.24167
2024-01-15 05:00:00,202.11588
2024-01-15 06:00:00,217.69328
2024-01-15 07:00:00,215.6753
2024-01-15 08:00:00,152.08
2024-01-15 09:00:00,112.76614
2024-01-15 10:00:00,103.61262
2024-01-15 11:00:00,94.77395
2024-01-15 12:00:00,99.14088
2024-01-15 13:00:00,97.5494
2024-01-15 14:00:00,104.97563
2024-01-15 15:00:00,145.45917
2024-01-15 16:00:00,228.27316
2024-01-15 17:00:00,253.47485
2024-01-15 18:00:00,250.28377
2024-01-15 19:00:00,246.66489
2024-01-15 20:00:00,243.14279
2024-01-15 21:00:00,241.70116
2024-01-15 22:00:00,223.32516
2024-01-15 23:00:00,211.92215
2024-01-16 00:00:00,202.45625
2024-01-16 01:00:00,198.96938
2024-01-16 02:00:00,201.09566
2024-01-16 03:00:00,200.40913
2024-01-16 04:00:00,204.40813
2024-01-16 05:00:00,208.74248
2024-01-16 06:00:00,224.29445
2024-01-16 07:00:00,209.15884
2024-01-16 08:00:00,129.10004
2024-01-16 09:00:00,91.92008
2024-01-16 10:00:00,75.0
2024-01-16 11:00:00,74.42009
2024-01-16 12:00:00,64.30472
2024-01-16 13:00:00,59.6219
2024-01-16 14:00:00,75.0
2024-01-16 15:00:00,110.11435
2024-01-16 16:00:00,209.09029
2024-01-16 17:00:00,224.42987
2024-01-16 18:00:00,217.92964
2024-01-16 19:00:00,221.58398
2024-01-16 20:00:00,218.9253
2024-01-16 21:00:00,215.2651
2024-01-16 22:00:00,203.06686
2024-01-16 23:00:00,199.75851
2024-01-17 00:00:00,77.67922
2024-01-17 01:00:00,72.12504
2024-01-17 02:00:00,70.24053
2024-01-17 03:00:00,69.73416
2024-01-17 04:00:00,74.98611
2024-01-17 05:00:00,81.4267
2024-01-17 06:00:00,88.58116
2024-01-17 07:00:00,85.74002
2024-01-17 08:00:00,65.8075
2024-01-17 09:00:00,42.10494
2024-01-17 10:00:00,35.97921
2024-01-17 11:00:00,27.40361
2024-01-17 12:00:00,21.7953
2024-01-17 13:00:00,19.45257
2024-01-17 14:00:00,22.17436
2024-01-17 15:00:00,49.44675
2024-01-17 16:00:00,73.22566
2024-01-17 17:00:00,79.96172
2024-01-17 18:00:00,80.14544
2024-01-17 19:00:00,79.24081
2024-01-17 20:00:00,77.99428
2024-01-17 21:00:00,78.03
2024-01-17 22:00:00,76.40026
2024-01-17 23:00:00,69.90896
2024-01-18 00:00:00,46.02073
2024-01-18 01:00:00,45.7179
2024-01-18 02:00:00,45.76373
2024-01-18 03:00:00,47.11826
2024-01-18 04:00:00,49.20252
2024-01-18 05:00:00,60.33426
2024-01-18 06:00:00,74.26256
2024-01-18 07:00:00,62.19
2024-01-18 08:00:00,41.24935
2024-01-18 09:00:00,20.69201
2024-01-18 10:00:00,17.13446
2024-01-18 11:00:00,10.4
2024-01-18 12:00:00,7.91388
2024-01-18 13:00:00,12.30079
2024-01-18 14:00:00,15.9352
2024-01-18 15:00:00,42.09254
2024-01-18 16:00:00,71.19871
2024-01-18 17:00:00,76.59164
2024-01-18 18:00:00,76.42339
2024-01-18 19:00:00,74.8828
2024-01-18 20:00:00,71.48635
2024-01-18 21:00:00,71.02668
2024-01-18 22:00:00,65.10746
2024-01-18 23:00:00,61.73229
2024-01-19 00:00:00,62.08468
2024-01-19 01:00:00,58.45297
2024-01-19 02:00:00,57.77651
2024-01-19 03:00:00,57.94316
2024-01-19 04:00:00,61.78264
2024-01-19 05:00:00,64.84975
2024-01-19 06:00:00,75.70575
2024-01-19 07:00:00,75.03498
2024-01-19 08:00:00,60.94837
2024-01-19 09:00:00,50.64014
2024-01-19 10:00:00,49.08319
2024-01-19 11:00:00,45.12225
2024-01-19 12:00:00,43.36509
2024-01-19 13:00:00,45.23321
2024-01-19 14:00:00,49.6286
2024-01-19 15:00:00,62.56968
2024-01-19 16:00:00,75.24292
2024-01-19 17:00:00,76.7103
2024-01-19 18:00:00,76.19723
2024-01-19 19:00:00,70.1593
2024-01-19 20:00:00,66.46488
2024-01-19 21:00:00,64.18467
2024-01-19 22:00:00,63.08164
2024-01-19 23:00:00,54.50324
2024-01-20 00:00:00,55.11706
2024-01-20 01:00:00,50.67428
2024-01-20 02:00:00,50.63229
2024-01-20 03:00:00,50.4946
2024-01-20 04:00:00,51.56231
2024-01-20 05:00:00,51.50938
2024-01-20 06:00:00,57.16
2024-01-20 07:00:00,55.21883
2024-01-20 08:00:00,47.76308
2024-01-20 09:00:00,44.11867
2024-01-20 10:00:00,35.74369
2024-01-20 11:00:00,36.91202
2024-01-20 12:00:00,35.58504
2024-01-20 13:00:00,36.40767
2024-01-20 14:00:00,42.00095
2024-01-20 15:00:00,53.46602
2024-01-20 16:00:00,60.59779
2024-01-20 17:00:00,62.5634
2024-01-20 18:00:00,61.64859
2024-01-20 19:00:00,61.85537
2024-01-20 20:00:00,61.76738
2024-01-20 21:00:00,61.51324
2024-01-20 22:00:00,56.54737
2024-01-20 23:00:00,50.69864
2024-01-21 00:00:00,47.89802
2024-01-21 01:00:00,47.84714
2024-01-21 02:00:00,46.9585
2024-01-21 03:00:00,47.22681
2024-01-21 04:00:00,46.8388
2024-01-21 05:00:00,47.29011
2024-01-21 06:00:00,45.64306
2024-01-21 07:00:00,47.04522
2024-01-21 08:00:00,44.00255
2024-01-21 09:00:00,41.19523
2024-01-21 10:00:00,40.09119
2024-01-21 11:00:00,38.5
2024-01-21 12:00:00,37.6735
2024-01-21 13:00:00,36.51361
2024-01-21 14:00:00,38.06926
2024-01-21 15:00:00,41.72637
2024-01-21 16:00:00,55.76917
2024-01-21 17:00:00,60.0505
2024-01-21 18:00:00,59.80982
