time_step,datetime,node,product,price,buy_qty,sell_qty,commitment_mw,pnl
826,2024-02-04 09:00:00,TH_SP15_GEN-APND,RegUp,4.37,0.0,0.0,0.944271909999158,4.12646824669632
826,2024-02-04 09:00:00,TH_SP15_GEN-APND,Spin,1.33498,0.0,0.0,0.944271909999158,1.260584114410676
826,2024-02-04 09:00:00,TH_SP15_GEN-APND,RegDown,5.0,0.0,0.0,10.0,50.0
826,2024-02-04 09:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
827,2024-02-04 10:00:00,TH_SP15_GEN-APND,SP15,28.66612,0.0,0.0,0.0,0.0
827,2024-02-04 10:00:00,TH_SP15_GEN-APND,RegUp,1.27655,0.0,0.0,0.944271909999158,1.2054103067094253
827,2024-02-04 10:00:00,TH_SP15_GEN-APND,Spin,0.77162,0.0,0.0,0.944271909999158,0.7286190911935503
827,2024-02-04 10:00:00,TH_SP15_GEN-APND,RegDown,5.07381,0.0,0.0,10.0,50.7381
827,2024-02-04 10:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
828,2024-02-04 11:00:00,TH_SP15_GEN-APND,SP15,27.60043,0.0,0.0,0.0,0.0
828,2024-02-04 11:00:00,TH_SP15_GEN-APND,RegUp,0.92077,0.0,0.0,0.944271909999158,0.8694572465699247
828,2024-02-04 11:00:00,TH_SP15_GEN-APND,Spin,0.4499999999999999,0.0,0.0,0.944271909999158,0.424922359499621
828,2024-02-04 11:00:00,TH_SP15_GEN-APND,RegDown,5.10265,0.0,0.0,10.0,51.0265
828,2024-02-04 11:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
829,2024-02-04 12:00:00,TH_SP15_GEN-APND,SP15,26.12682,0.0,0.0,0.0,0.0
829,2024-02-04 12:00:00,TH_SP15_GEN-APND,RegUp,1.95276,0.0,0.0,0.944271909999158,1.8439364149699558
829,2024-02-04 12:00:00,TH_SP15_GEN-APND,Spin,0.4499999999999999,0.0,0.0,0.944271909999158,0.424922359499621
829,2024-02-04 12:00:00,TH_SP15_GEN-APND,RegDown,7.28326,0.0,0.0,10.0,72.8326
829,2024-02-04 12:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
830,2024-02-04 13:00:00,TH_SP15_GEN-APND,SP15,24.30752,0.0,0.0,0.0,0.0
830,2024-02-04 13:00:00,TH_SP15_GEN-APND,RegUp,4.97765,0.0,0.0,0.944271909999158,4.700255072807309
830,2024-02-04 13:00:00,TH_SP15_GEN-APND,Spin,0.4499999999999999,0.0,0.0,0.944271909999158,0.424922359499621
830,2024-02-04 13:00:00,TH_SP15_GEN-APND,RegDown,9.0243,0.0,0.0,10.0,90.243
830,2024-02-04 13:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
831,2024-02-04 14:00:00,TH_SP15_GEN-APND,SP15,28.06996,0.0,0.0,0.0,0.0
831,2024-02-04 14:00:00,TH_SP15_GEN-APND,RegUp,4.04374,0.0,0.0,0.944271909999158,3.818390093339995
831,2024-02-04 14:00:00,TH_SP15_GEN-APND,Spin,1.08809,0.0,0.0,0.944271909999158,1.0274528225509838
831,2024-02-04 14:00:00,TH_SP15_GEN-APND,RegDown,5.32486,0.0,0.0,10.0,53.2486
831,2024-02-04 14:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
832,2024-02-04 15:00:00,TH_SP15_GEN-APND,SP15,35.08149,0.0,0.0,0.0,0.0
832,2024-02-04 15:00:00,TH_SP15_GEN-APND,RegUp,3.34028,0.0,0.0,0.944271909999158,3.1541325755319876
832,2024-02-04 15:00:00,TH_SP15_GEN-APND,Spin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
832,2024-02-04 15:00:00,TH_SP15_GEN-APND,RegDown,8.492049999999999,0.0,0.0,10.0,84.92049999999999
832,2024-02-04 15:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
833,2024-02-04 16:00:00,TH_SP15_GEN-APND,SP15,51.07532,0.0,0.0,0.0,0.0
833,2024-02-04 16:00:00,TH_SP15_GEN-APND,RegUp,2.81,0.0,0.0,0.944271909999158,2.653404067097634
833,2024-02-04 16:00:00,TH_SP15_GEN-APND,Spin,0.61,0.0,0.0,0.944271909999158,0.5760058650994864
833,2024-02-04 16:00:00,TH_SP15_GEN-APND,RegDown,9.82678,0.0,0.0,10.0,98.2678
833,2024-02-04 16:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
834,2024-02-04 17:00:00,TH_SP15_GEN-APND,SP15,51.2868,0.0,0.0,0.0,0.0
834,2024-02-04 17:00:00,TH_SP15_GEN-APND,RegUp,1.1315,0.0,0.0,0.944271909999158,1.0684436661640473
834,2024-02-04 17:00:00,TH_SP15_GEN-APND,Spin,1.1315,0.0,0.0,0.944271909999158,1.0684436661640473
834,2024-02-04 17:00:00,TH_SP15_GEN-APND,RegDown,9.53576,0.0,0.0,10.0,95.35759999999999
834,2024-02-04 17:00:00,TH_SP15_GEN-APND,NonSpin,1.0,0.0,0.0,0.944271909999158,0.944271909999158
835,2024-02-04 18:00:00,TH_SP15_GEN-APND,SP15,51.63381,0.0,0.0,0.0,0.0
835,2024-02-04 18:00:00,TH_SP15_GEN-APND,RegUp,1.0,0.0,0.0,0.944271909999158,0.944271909999158
835,2024-02-04 18:00:00,TH_SP15_GEN-APND,Spin,1.0,0.0,0.0,0.944271909999158,0.944271909999158
835,2024-02-04 18:00:00,TH_SP15_GEN-APND,RegDown,7.79756,0.0,0.0,10.0,77.9756
835,2024-02-04 18:00:00,TH_SP15_GEN-APND,NonSpin,1.0,0.0,0.0,0.944271909999158,0.944271909999158
836,2024-02-04 19:00:00,TH_SP15_GEN-APND,SP15,51.57636,0.0,0.0,0.0,0.0
836,2024-02-04 19:00:00,TH_SP15_GEN-APND,RegUp,1.02607,0.0,0.0,0.944271909999158,0.9688890786928361
836,2024-02-04 19:00:00,TH_SP15_GEN-APND,Spin,1.0,0.0,0.0,0.944271909999158,0.944271909999158
836,2024-02-04 19:00:00,TH_SP15_GEN-APND,RegDown,6.38422,0.0,0.0,10.0,63.8422
836,2024-02-04 19:00:00,TH_SP15_GEN-APND,NonSpin,1.0,0.0,0.0,0.944271909999158,0.944271909999158
837,2024-02-04 20:00:00,TH_SP15_GEN-APND,SP15,51.50915,0.0,0.0,0.0,0.0
837,2024-02-04 20:00:00,TH_SP15_GEN-APND,RegUp,1.5927,0.0,0.0,0.944271909999158,1.503941871055659
837,2024-02-04 20:00:00,TH_SP15_GEN-APND,Spin,0.79949,0.0,0.0,0.944271909999158,0.7549359493252269
837,2024-02-04 20:00:00,TH_SP15_GEN-APND,RegDown,6.1563300000000005,0.0,0.0,10.0,61.563300000000005
837,2024-02-04 20:00:00,TH_SP15_GEN-APND,NonSpin,0.79949,0.0,0.0,0.944271909999158,0.7549359493252269
838,2024-02-04 21:00:00,TH_SP15_GEN-APND,SP15,50.64387,0.0,0.0,0.0,0.0
838,2024-02-04 21:00:00,TH_SP15_GEN-APND,RegUp,1.31355,0.0,0.0,0.944271909999158,1.240348367379394
838,2024-02-04 21:00:00,TH_SP15_GEN-APND,Spin,0.76607,0.0,0.0,0.944271909999158,0.723378382093055
838,2024-02-04 21:00:00,TH_SP15_GEN-APND,RegDown,5.61125,0.0,0.0,10.0,56.1125
838,2024-02-04 21:00:00,TH_SP15_GEN-APND,NonSpin,0.68,0.0,0.0,0.944271909999158,0.6421048987994274
839,2024-02-04 22:00:00,TH_SP15_GEN-APND,SP15,46.46052,0.0,0.0,0.0,0.0
839,2024-02-04 22:00:00,TH_SP15_GEN-APND,RegUp,3.92999,0.0,0.0,0.944271909999158,3.710979163577591
839,2024-02-04 22:00:00,TH_SP15_GEN-APND,Spin,1.25291,0.0,0.0,0.944271909999158,1.183087718757045
839,2024-02-04 22:00:00,TH_SP15_GEN-APND,RegDown,5.0,0.0,0.0,10.0,50.0
839,2024-02-04 22:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
840,2024-02-04 23:00:00,TH_SP15_GEN-APND,SP15,43.9501,0.0,0.0,0.0,0.0
840,2024-02-04 23:00:00,TH_SP15_GEN-APND,RegUp,5.0,0.0,0.0,0.944271909999158,4.72135954999579
