time_step,datetime,soc
265,2024-01-12 00:00:00,1.05572809000084
266,2024-01-12 01:00:00,1.05572809000084
267,2024-01-12 02:00:00,1.05572809000084
268,2024-01-12 03:00:00,1.05572809000084
269,2024-01-12 04:00:00,1.05572809000084
270,2024-01-12 05:00:00,1.05572809000084
271,2024-01-12 06:00:00,0.0
272,2024-01-12 07:00:00,0.0
273,2024-01-12 08:00:00,0.0
274,2024-01-12 09:00:00,0.0
275,2024-01-12 10:00:00,0.0
276,2024-01-12 11:00:00,1.05572809000084
277,2024-01-12 12:00:00,1.05572809000084
278,2024-01-12 13:00:00,1.05572809000084
279,2024-01-12 14:00:00,10.0
280,2024-01-12 15:00:00,10.0
281,2024-01-12 16:00:00,3.72677996249965
282,2024-01-12 17:00:00,3.72677996249965
283,2024-01-12 18:00:00,3.72677996249965
284,2024-01-12 19:00:00,3.72677996249965
285,2024-01-12 20:00:00,3.72677996249965
286,2024-01-12 21:00:00,3.72677996249965
287,2024-01-12 22:00:00,3.72677996249965
288,2024-01-12 23:00:00,10.0
289,2024-01-13 00:00:00,1.05572809000084
290,2024-01-13 01:00:00,1.05572809000084
291,2024-01-13 02:00:00,1.05572809000084
292,2024-01-13 03:00:00,1.05572809000084
293,2024-01-13 04:00:00,1.05572809000084
294,2024-01-13 05:00:00,1.05572809000084
295,2024-01-13 06:00:00,0.0
296,2024-01-13 07:00:00,0.0
297,2024-01-13 08:00:00,0.0
298,2024-01-13 09:00:00,0.0
299,2024-01-13 10:00:00,1.05572809000084
300,2024-01-13 11:00:00,1.05572809000084
301,2024-01-13 12:00:00,1.05572809000084
302,2024-01-13 13:00:00,1.05572809000084
303,2024-01-13 14:00:00,10.0
304,2024-01-13 15:00:00,10.0
305,2024-01-13 16:00:00,7.4535599249993
306,2024-01-13 17:00:00,3.72677996249965
307,2024-01-13 18:00:00,3.72677996249965
308,2024-01-13 19:00:00,1.05572809000084
309,2024-01-13 20:00:00,1.05572809000084
310,2024-01-13 21:00:00,1.05572809000084
311,2024-01-13 22:00:00,1.05572809000084
312,2024-01-13 23:00:00,1.05572809000084
313,2024-01-14 00:00:00,1.05572809000084
314,2024-01-14 01:00:00,1.05572809000084
315,2024-01-14 02:00:00,1.05572809000084
316,2024-01-14 03:00:00,1.05572809000084
317,2024-01-14 04:00:00,1.05572809000084
318,2024-01-14 05:00:00,1.05572809000084
319,2024-01-14 06:00:00,0.0
320,2024-01-14 07:00:00,0.0
321,2024-01-14 08:00:00,0.0
322,2024-01-14 09:00:00,1.05572809000084
323,2024-01-14 10:00:00,1.05572809000084
324,2024-01-14 11:00:00,1.05572809000084
325,2024-01-14 12:00:00,1.05572809000084
326,2024-01-14 13:00:00,10.0
327,2024-01-14 14:00:00,10.0
328,2024-01-14 15:00:00,10.0
329,2024-01-14 16:00:00,10.0
330,2024-01-14 17:00:00,3.72677996249965
331,2024-01-14 18:00:00,3.72677996249965
332,2024-01-14 19:00:00,3.72677996249965
333,2024-01-14 20:00:00,3.72677996249965
334,2024-01-14 21:00:00,3.72677996249965
335,2024-01-14 22:00:00,3.72677996249965
336,2024-01-14 23:00:00,3.72677996249965
337,2024-01-15 00:00:00,1.05572809000084
338,2024-01-15 01:00:00,1.05572809000084
339,2024-01-15 02:00:00,1.05572809000084
340,2024-01-15 03:00:00,1.05572809000084
341,2024-01-15 04:00:00,1.05572809000084
342,2024-01-15 05:00:00,1.05572809000084
343,2024-01-15 06:00:00,1.05572809000084
344,2024-01-15 07:00:00,0.0
345,2024-01-15 08:00:00,0.0
346,2024-01-15 09:00:00,0.0
347,2024-01-15 10:00:00,0.0
348,2024-01-15 11:00:00,1.05572809000084
349,2024-01-15 12:00:00,1.05572809000084
350,2024-01-15 13:00:00,1.05572809000084
351,2024-01-15 14:00:00,10.0
352,2024-01-15 15:00:00,10.0
353,2024-01-15 16:00:00,3.72677996249965
354,2024-01-15 17:00:00,3.72677996249965
355,2024-01-15 18:00:00,3.72677996249965
356,2024-01-15 19:00:00,3.72677996249965
357,2024-01-15 20:00:00,3.72677996249965
358,2024-01-15 21:00:00,3.72677996249965
359,2024-01-15 22:00:00,1.05572809000084
360,2024-01-15 23:00:00,1.05572809000084
361,2024-01-16 00:00:00,1.05572809000084
362,2024-01-16 01:00:00,1.05572809000084
363,2024-01-16 02:00:00,1.05572809000084
364,2024-01-16 03:00:00,1.05572809000084
365,2024-01-16 04:00:00,1.05572809000084
366,2024-01-16 05:00:00,1.05572809000084
367,2024-01-16 06:00:00,0.0
368,2024-01-16 07:00:00,0.0
369,2024-01-16 08:00:00,0.0
370,2024-01-16 09:00:00,0.0
371,2024-01-16 10:00:00,1.05572809000084
372,2024-01-16 11:00:00,1.05572809000084
373,2024-01-16 12:00:00,1.05572809000084
374,2024-01-16 13:00:00,10.0
375,2024-01-16 14:00:00,10.0
376,2024-01-16 15:00:00,10.0
377,2024-01-16 16:00:00,10.0
378,2024-01-16 17:00:00,3.72677996249965
379,2024-01-16 18:00:00,3.72677996249965
380,2024-01-16 19:00:00,3.72677996249965
381,2024-01-16 20:00:00,3.72677996249965
382,2024-01-16 21:00:00,1.05572809000084
383,2024-01-16 22:00:00,1.05572809000084
384,2024-01-16 23:00:00,0.0
385,2024-01-17 00:00:00,0.0
386,2024-01-17 01:00:00,0.0
387,2024-01-17 02:00:00,0.0
388,2024-01-17 03:00:00,0.0
389,2024-01-17 04:00:00,0.0
390,2024-01-17 05:00:00,0.0
391,2024-01-17 06:00:00,0.0
392,2024-01-17 07:00:00,0.0
393,2024-01-17 08:00:00,0.0
394,2024-01-17 09:00:00,0.0
395,2024-01-17 10:00:00,0.0
